--- Arvore geradora minima de 20---
20 ~> 188 | dist: 1.92
20 ~> 189 | dist: 2.15
20 ~> 190 | dist: 2.35
20 ~> 191 | dist: 2.58
20 ~> 192 | dist: 1.98
20 ~> 193 | dist: 2.20
20 ~> 194 | dist: 2.42
20 ~> 195 | dist: 2.02
20 ~> 196 | dist: 1.73
20 ~> 197 | dist: 2.42
20 ~> 198 | dist: 2.49
20 ~> 199 | dist: 2.62
20 ~> 200 | dist: 1.31
20 ~> 201 | dist: 2.00
20 ~> 202 | dist: 1.26
20 ~> 203 | dist: 2.03
20 ~> 204 | dist: 2.54
20 ~> 205 | dist: 2.44
20 ~> 206 | dist: 2.53
20 ~> 207 | dist: 1.80
20 ~> 208 | dist: 2.59
20 ~> 209 | dist: 2.07
20 ~> 210 | dist: 2.23
20 ~> 211 | dist: 2.24
20 ~> 212 | dist: 1.82
20 ~> 213 | dist: 2.59
20 ~> 214 | dist: 1.99
20 ~> 215 | dist: 2.87
20 ~> 216 | dist: 2.70
20 ~> 217 | dist: 2.53
20 ~> 218 | dist: 2.47
20 ~> 219 | dist: 2.41
20 ~> 220 | dist: 2.42
20 ~> 221 | dist: 2.16
20 ~> 222 | dist: 1.89
20 ~> 223 | dist: 2.73
20 ~> 224 | dist: 2.85
20 ~> 225 | dist: 1.92
20 ~> 226 | dist: 2.43
20 ~> 227 | dist: 2.52
20 ~> 228 | dist: 2.30
20 ~> 229 | dist: 2.53
20 ~> 230 | dist: 2.34
20 ~> 231 | dist: 2.21
20 ~> 232 | dist: 2.64
20 ~> 233 | dist: 2.48
20 ~> 234 | dist: 1.58
20 ~> 235 | dist: 2.23
20 ~> 236 | dist: 2.44
20 ~> 237 | dist: 2.03
20 ~> 238 | dist: 3.16
20 ~> 239 | dist: 1.97
20 ~> 240 | dist: 1.90
20 ~> 241 | dist: 1.68
20 ~> 242 | dist: 1.72
20 ~> 243 | dist: 1.84
20 ~> 244 | dist: 2.52
20 ~> 245 | dist: 2.18
20 ~> 246 | dist: 2.11
20 ~> 247 | dist: 2.48
20 ~> 248 | dist: 2.19
20 ~> 249 | dist: 2.15
20 ~> 250 | dist: 2.61
20 ~> 251 | dist: 2.72
20 ~> 252 | dist: 2.32
20 ~> 253 | dist: 2.27
20 ~> 254 | dist: 1.93
20 ~> 255 | dist: 2.56
20 ~> 256 | dist: 2.10
20 ~> 257 | dist: 2.20
20 ~> 258 | dist: 1.35
20 ~> 259 | dist: 2.22
20 ~> 260 | dist: 2.38
20 ~> 261 | dist: 2.16
20 ~> 262 | dist: 2.09
20 ~> 263 | dist: 1.99
20 ~> 264 | dist: 2.51
20 ~> 265 | dist: 2.01
20 ~> 266 | dist: 2.04
20 ~> 267 | dist: 2.24
20 ~> 268 | dist: 3.01
20 ~> 269 | dist: 2.18
20 ~> 270 | dist: 2.10
20 ~> 271 | dist: 2.30
20 ~> 272 | dist: 2.04
20 ~> 273 | dist: 2.82
20 ~> 274 | dist: 2.38
20 ~> 275 | dist: 2.05
20 ~> 276 | dist: 2.08
20 ~> 277 | dist: 3.01
20 ~> 278 | dist: 2.25
20 ~> 279 | dist: 2.05
20 ~> 280 | dist: 1.89
20 ~> 281 | dist: 1.71
20 ~> 282 | dist: 1.98
20 ~> 283 | dist: 2.44
20 ~> 284 | dist: 2.48
20 ~> 285 | dist: 1.99
20 ~> 286 | dist: 1.71
20 ~> 287 | dist: 1.87
20 ~> 288 | dist: 2.37
20 ~> 289 | dist: 2.08
20 ~> 290 | dist: 2.90
20 ~> 291 | dist: 2.17
20 ~> 292 | dist: 2.06
20 ~> 293 | dist: 2.16
20 ~> 294 | dist: 2.31
20 ~> 295 | dist: 2.73
20 ~> 296 | dist: 2.44
20 ~> 297 | dist: 2.52
20 ~> 298 | dist: 2.17
20 ~> 299 | dist: 2.32
20 ~> 300 | dist: 1.33
20 ~> 301 | dist: 2.01
20 ~> 302 | dist: 1.94
20 ~> 303 | dist: 2.00
20 ~> 304 | dist: 1.99
20 ~> 305 | dist: 1.88
20 ~> 306 | dist: 2.37
20 ~> 307 | dist: 2.80
20 ~> 308 | dist: 2.12
20 ~> 309 | dist: 1.90
20 ~> 310 | dist: 2.10
20 ~> 311 | dist: 1.95
20 ~> 312 | dist: 2.86
20 ~> 313 | dist: 1.79
20 ~> 314 | dist: 2.31
20 ~> 315 | dist: 2.13
20 ~> 316 | dist: 2.14
20 ~> 317 | dist: 2.38
20 ~> 318 | dist: 2.03
20 ~> 319 | dist: 2.08
20 ~> 320 | dist: 1.96
20 ~> 321 | dist: 3.00
20 ~> 322 | dist: 2.28
20 ~> 323 | dist: 2.37
20 ~> 324 | dist: 2.52
20 ~> 325 | dist: 2.18
20 ~> 326 | dist: 2.79
20 ~> 327 | dist: 2.81
20 ~> 328 | dist: 1.64
20 ~> 329 | dist: 1.89
20 ~> 330 | dist: 1.53
20 ~> 331 | dist: 1.85
20 ~> 332 | dist: 1.99
20 ~> 333 | dist: 2.29
20 ~> 334 | dist: 1.86
