vertex=3187	father=3615	depth=2552
vertex=3199	father=28446	depth=1361
vertex=3228	father=12341	depth=2593
vertex=3264	father=7828	depth=527
vertex=3283	father=1541	depth=1086
vertex=3285	father=34349	depth=2648
vertex=3306	father=28206	depth=1958
vertex=3321	father=3534	depth=299
vertex=3343	father=36433	depth=1892
vertex=3363	father=44414	depth=2695
vertex=3370	father=26283	depth=201
vertex=3398	father=3611	depth=1386
vertex=3417	father=16105	depth=2532
vertex=3457	father=7722	depth=2296
vertex=3470	father=31794	depth=1078
vertex=3502	father=17125	depth=2100
vertex=3510	father=8339	depth=1784
vertex=3512	father=10358	depth=1500
vertex=3527	father=38891	depth=2447
vertex=3534	father=1324	depth=298
vertex=3560	father=101	depth=2428
vertex=3563	father=39065	depth=1175
vertex=3570	father=15573	depth=2065
vertex=3576	father=12679	depth=2577
vertex=3587	father=22197	depth=1697
vertex=3589	father=16230	depth=2645
vertex=3608	father=31680	depth=2281
vertex=3611	father=45918	depth=1385
vertex=3615	father=18393	depth=2551
vertex=3619	father=5642	depth=1740
vertex=3623	father=34867	depth=2077
vertex=3649	father=18309	depth=2093
vertex=3659	father=40932	depth=681
vertex=3704	father=43887	depth=2666
vertex=3717	father=437	depth=12
vertex=3719	father=11606	depth=2201
vertex=3742	father=28626	depth=1645
vertex=3809	father=24025	depth=317
vertex=3811	father=28491	depth=1723
vertex=3812	father=21064	depth=210
vertex=3813	father=24999	depth=2112
vertex=3834	father=26098	depth=737
vertex=3847	father=36137	depth=1394
vertex=3855	father=16807	depth=1252
vertex=3911	father=18631	depth=186
vertex=3916	father=28645	depth=1491
vertex=3926	father=49586	depth=1345
vertex=3939	father=36106	depth=1331
vertex=3943	father=14064	depth=1463
vertex=3951	father=46571	depth=312
vertex=3970	father=37673	depth=370
vertex=3976	father=42703	depth=237
vertex=3984	father=15382	depth=1313
vertex=4003	father=14791	depth=823
vertex=4021	father=32153	depth=2108
vertex=4022	father=39296	depth=585
vertex=4024	father=27401	depth=1611
vertex=4063	father=1508	depth=1624
vertex=4095	father=13335	depth=675
vertex=4122	father=37392	depth=1437
vertex=4152	father=21598	depth=2382
vertex=4182	father=12827	depth=2023
vertex=4192	father=20323	depth=964
vertex=4198	father=7818	depth=1407
vertex=4203	father=37409	depth=1443
vertex=4246	father=31088	depth=2581
vertex=4247	father=10772	depth=1246
vertex=4261	father=10002	depth=1122
vertex=4263	father=22411	depth=776
vertex=4265	father=17014	depth=1609
vertex=4288	father=33668	depth=458
vertex=4294	father=37978	depth=420
vertex=4297	father=8110	depth=2679
vertex=4314	father=711	depth=1669
vertex=4324	father=47573	depth=2592
vertex=4326	father=46642	depth=635
vertex=4330	father=31307	depth=1242
vertex=4385	father=23174	depth=491
vertex=4391	father=21195	depth=1700
vertex=4401	father=22252	depth=179
vertex=4404	father=42815	depth=2272
vertex=4413	father=24286	depth=2457
vertex=4425	father=472	depth=1762
vertex=4431	father=28070	depth=286
vertex=4436	father=38960	depth=1575
vertex=4446	father=33786	depth=1533
vertex=4449	father=21882	depth=375
vertex=4481	father=34396	depth=2598
vertex=4488	father=31081	depth=2312
vertex=4489	father=820	depth=703
vertex=4507	father=1701	depth=94
vertex=4510	father=49935	depth=2638
vertex=4531	father=17043	depth=2373
vertex=4569	father=49848	depth=1659
vertex=4596	father=48069	depth=929
vertex=4602	father=48734	depth=2444
vertex=4613	father=43316	depth=1117
vertex=4651	father=35605	depth=1365
vertex=4671	father=598	depth=1425
vertex=4682	father=9064	depth=27
vertex=4721	father=22490	depth=2040
vertex=4733	father=37565	depth=2174
vertex=4776	father=11463	depth=409
vertex=4795	father=46428	depth=1262
vertex=4799	father=34321	depth=68
vertex=4804	father=44359	depth=1133
vertex=4814	father=1233	depth=2530
vertex=4827	father=20600	depth=2378
vertex=4835	father=19676	depth=2522
vertex=4869	father=23651	depth=611
vertex=4938	father=26109	depth=2252
vertex=4941	father=14031	depth=896
vertex=4943	father=38023	depth=2631
vertex=4953	father=36409	depth=2180
vertex=4967	father=41955	depth=2267
vertex=4992	father=34077	depth=445
vertex=5012	father=19557	depth=888
vertex=5028	father=4021	depth=2109
vertex=5038	father=21263	depth=1041
vertex=5090	father=36758	depth=127
vertex=5092	father=8235	depth=2314
vertex=5095	father=18068	depth=2546
vertex=5097	father=44136	depth=1096
vertex=5104	father=49428	depth=334
vertex=5112	father=40111	depth=2362
vertex=5151	father=25160	depth=900
vertex=5152	father=6333	depth=1478
vertex=5161	father=3834	depth=738
vertex=5165	father=5561	depth=1522
vertex=5171	father=2339	depth=2691
vertex=5179	father=34206	depth=536
vertex=5181	father=32005	depth=1769
vertex=5216	father=25656	depth=2333
vertex=5250	father=10642	depth=1652
vertex=5276	father=41953	depth=998
vertex=5278	father=40069	depth=1995
vertex=5320	father=1364	depth=2650
vertex=5332	father=29411	depth=2550
vertex=5354	father=8394	depth=1380
vertex=5368	father=28022	depth=1493
vertex=5369	father=30200	depth=800
vertex=5378	father=8304	depth=2255
vertex=5389	father=10987	depth=1114
vertex=5404	father=16653	depth=765
vertex=5429	father=25007	depth=1218
vertex=5453	father=35833	depth=2321
vertex=5502	father=10459	depth=1102
vertex=5529	father=16176	depth=2635
vertex=5539	father=9458	depth=2438
vertex=5561	father=10118	depth=1521
vertex=5567	father=42934	depth=110
vertex=5571	father=20369	depth=1835
vertex=5589	father=24783	depth=146
vertex=5620	father=15262	depth=1441
vertex=5626	father=41310	depth=1512
vertex=5642	father=21294	depth=1739
vertex=5649	father=42171	depth=2554
vertex=5727	father=49343	depth=2610
vertex=5733	father=17583	depth=1689
vertex=5737	father=6636	depth=1919
vertex=5749	father=1864	depth=817
vertex=5752	father=47679	depth=1250
vertex=5772	father=15157	depth=273
vertex=5787	father=13053	depth=2588
vertex=5823	father=19332	depth=1100
vertex=5824	father=47037	depth=2359
vertex=5832	father=7982	depth=2590
vertex=5838	father=24556	depth=485
vertex=5842	father=6717	depth=973
vertex=5854	father=3098	depth=276
vertex=5864	father=24533	depth=270
vertex=5867	father=22989	depth=2306
vertex=5868	father=17581	depth=726
vertex=5895	father=30014	depth=2661
vertex=5919	father=41762	depth=434
vertex=5922	father=25740	depth=1359
vertex=5923	father=13291	depth=1774
vertex=5927	father=26881	depth=2422
vertex=5933	father=49786	depth=2068
vertex=5934	father=22461	depth=429
vertex=5948	father=41804	depth=2027
vertex=5959	father=35806	depth=603
vertex=5962	father=33575	depth=1382
vertex=5979	father=49375	depth=1170
vertex=5997	father=43508	depth=733
vertex=6009	father=9108	depth=2079
vertex=6011	father=21533	depth=1594
vertex=6017	father=2012	depth=1622
vertex=6033	father=47002	depth=2070
vertex=6105	father=19452	depth=2546
vertex=6111	father=33669	depth=1911
vertex=6118	father=8141	depth=17
vertex=6125	father=22650	depth=1988
vertex=6190	father=36205	depth=1433
vertex=6211	father=32387	depth=1736
vertex=6221	father=49787	depth=1184
vertex=6267	father=44498	depth=9
vertex=6269	father=48300	depth=2529
vertex=6313	father=29648	depth=1771
vertex=6331	father=21950	depth=2678
vertex=6333	father=1470	depth=1477
vertex=6365	father=44508	depth=32
vertex=6374	father=17697	depth=2630
vertex=6392	father=7882	depth=782
vertex=6432	father=13483	depth=598
vertex=6549	father=43849	depth=1228
vertex=6567	father=33537	depth=830
vertex=6569	father=5854	depth=277
vertex=6600	father=17516	depth=2300
vertex=6629	father=46231	depth=1812
vertex=6632	father=4401	depth=180
vertex=6636	father=42501	depth=1918
vertex=6644	father=5737	depth=1920
vertex=6651	father=38388	depth=605
vertex=6658	father=40501	depth=161
vertex=6664	father=42018	depth=1556
vertex=6670	father=25666	depth=1244
vertex=6679	father=33092	depth=780
vertex=6681	father=45607	depth=357
vertex=6696	father=47506	depth=2137
vertex=6710	father=19836	depth=2234
vertex=6717	father=36442	depth=972
vertex=6728	father=34282	depth=2177
vertex=6750	father=25839	depth=71
vertex=6770	father=5838	depth=486
vertex=6776	father=21101	depth=2418
vertex=6777	father=18523	depth=2647
vertex=6796	father=35838	depth=986
vertex=6816	father=13846	depth=2208
vertex=6887	father=10838	depth=249
vertex=6894	father=43034	depth=2567
vertex=6917	father=5749	depth=818
vertex=6919	father=45702	depth=2644
vertex=6927	father=15802	depth=1667
vertex=6944	father=48679	depth=1636
vertex=6954	father=23019	depth=1056
vertex=6963	father=40743	depth=1293
vertex=6969	father=49775	depth=2627
vertex=6987	father=16339	depth=339
vertex=6997	father=35243	depth=80
vertex=7002	father=25663	depth=1000
vertex=7004	father=3649	depth=2094
vertex=7014	father=4022	depth=586
vertex=7019	father=3560	depth=2429
vertex=7024	father=47375	depth=1015
vertex=7035	father=15042	depth=2516
vertex=7056	father=5923	depth=1775
vertex=7073	father=32098	depth=2362
vertex=7074	father=37300	depth=1787
vertex=7081	father=39307	depth=1819
vertex=7087	father=24825	depth=730
vertex=7101	father=16267	depth=44
vertex=7126	father=23887	depth=642
vertex=7148	father=8483	depth=932
vertex=7151	father=44558	depth=460
vertex=7167	father=5948	depth=2028
vertex=7194	father=6658	depth=162
vertex=7237	father=37569	depth=1827
vertex=7246	father=12442	depth=2573
vertex=7276	father=17639	depth=713
vertex=7372	father=47551	depth=2574
vertex=7396	father=33721	depth=520
vertex=7419	father=23804	depth=2522
vertex=7447	father=3704	depth=2667
vertex=7496	father=31595	depth=4
vertex=7536	father=13580	depth=2488
vertex=7542	father=36138	depth=2479
vertex=7551	father=10407	depth=1048
vertex=7557	father=2655	depth=1866
vertex=7627	father=38381	depth=1202
vertex=7631	father=17154	depth=563
vertex=7638	father=40885	depth=1672
vertex=7648	father=15849	depth=2683
vertex=7673	father=23841	depth=1974
vertex=7691	father=9660	depth=2596
vertex=7722	father=27931	depth=2295
vertex=7752	father=14175	depth=289
vertex=7784	father=12853	depth=217
vertex=7798	father=33352	depth=1266
vertex=7806	father=23519	depth=524
vertex=7818	father=45901	depth=1406
vertex=7828	father=30302	depth=526
vertex=7841	father=8260	depth=2625
vertex=7857	father=11847	depth=2097
vertex=7877	father=41338	depth=539
vertex=7882	father=6679	depth=781
vertex=7885	father=4967	depth=2268
vertex=7890	father=39810	depth=1537
vertex=7899	father=23941	depth=1032
vertex=7904	father=45295	depth=2328
vertex=7950	father=16921	depth=826
vertex=7965	father=33369	depth=522
vertex=7967	father=9270	depth=1080
vertex=7982	father=5787	depth=2589
vertex=7984	father=13342	depth=2060
vertex=7994	father=26922	depth=2673
vertex=7998	father=23069	depth=2665
vertex=8030	father=9454	depth=657
vertex=8043	father=42727	depth=483
vertex=8050	father=7151	depth=461
vertex=8056	father=16808	depth=142
vertex=8057	father=42078	depth=1565
vertex=8073	father=46644	depth=871
vertex=8090	father=49868	depth=361
vertex=8095	father=22542	depth=1551
vertex=8099	father=22668	depth=2641
vertex=8110	father=21744	depth=2678
vertex=8112	father=41771	depth=193
vertex=8116	father=15221	depth=1929
vertex=8126	father=1091	depth=1661
vertex=8132	father=42647	depth=1341
vertex=8135	father=15922	depth=2699
vertex=8141	father=27575	depth=16
vertex=8156	father=4152	depth=2383
vertex=8159	father=45283	depth=1549
vertex=8163	father=6681	depth=358
vertex=8185	father=17174	depth=2697
vertex=8187	father=6374	depth=2631
vertex=8200	father=18951	depth=2622
vertex=8235	father=4488	depth=2313
vertex=8245	father=20682	depth=481
vertex=8246	father=45925	depth=748
vertex=8260	father=34971	depth=2624
vertex=8276	father=1529	depth=2407
vertex=8280	father=19418	depth=2053
vertex=8298	father=39343	depth=1020
vertex=8304	father=35512	depth=2254
vertex=8309	father=47381	depth=2680
vertex=8312	father=11217	depth=808
vertex=8330	father=9865	depth=2044
vertex=8339	father=41523	depth=1783
vertex=8342	father=9363	depth=328
vertex=8371	father=3951	depth=313
vertex=8381	father=27928	depth=2522
vertex=8394	father=25782	depth=1379
vertex=8406	father=30212	depth=138
vertex=8445	father=19716	depth=2494
vertex=8449	father=8652	depth=2699
vertex=8469	father=33069	depth=2683
vertex=8483	father=12935	depth=931
vertex=8515	father=46541	depth=2688
vertex=8518	father=44246	depth=384
vertex=8530	father=42629	depth=2083
vertex=8555	father=49116	depth=894
vertex=8584	father=13594	depth=1306
vertex=8586	father=32325	depth=2242
vertex=8589	father=42690	depth=454
vertex=8592	father=6269	depth=2530
vertex=8593	father=41314	depth=2049
vertex=8599	father=34903	depth=1410
vertex=8604	father=42757	depth=364
vertex=8618	father=35075	depth=2510
vertex=8652	father=44559	depth=2698
vertex=8654	father=32600	depth=898
vertex=8690	father=5733	depth=1690
vertex=8711	father=43840	depth=1402
vertex=8715	father=17471	depth=2198
vertex=8721	father=11683	depth=1186
vertex=8746	father=12679	depth=2577
vertex=8748	father=34359	depth=1702
vertex=8776	father=4449	depth=376
vertex=8813	father=46541	depth=2688
vertex=8849	father=44455	depth=1964
vertex=8863	father=2990	depth=529
vertex=8887	father=16988	depth=2620
vertex=8892	father=38674	depth=350
vertex=8905	father=34001	depth=21
vertex=8917	father=43582	depth=1600
vertex=8925	father=2304	depth=2482
vertex=8966	father=44799	depth=581
vertex=8999	father=30848	depth=303
vertex=9039	father=15042	depth=2516
vertex=9063	father=45271	depth=2163
vertex=9064	father=12996	depth=26
vertex=9081	father=35685	depth=73
vertex=9091	father=14378	depth=2576
vertex=9092	father=34879	depth=2610
vertex=9096	father=24633	depth=639
vertex=9101	father=36189	depth=2704
vertex=9108	father=3623	depth=2078
vertex=9109	father=41244	depth=1641
vertex=9117	father=26178	depth=1777
vertex=9118	father=31530	depth=701
vertex=9123	father=38743	depth=802
vertex=9128	father=46702	depth=1153
vertex=9140	father=22678	depth=473
vertex=9164	father=18319	depth=342
vertex=9178	father=35613	depth=1140
vertex=9179	father=1735	depth=2072
vertex=9194	father=42525	depth=1943
vertex=9202	father=24301	depth=625
vertex=9245	father=7014	depth=587
vertex=9254	father=12467	depth=2696
vertex=9256	father=26307	depth=981
vertex=9259	father=8187	depth=2632
vertex=9270	father=3470	depth=1079
vertex=9283	father=20269	depth=134
vertex=9286	father=27250	depth=152
vertex=9292	father=18924	depth=1979
vertex=9299	father=35525	depth=2144
vertex=9322	father=47311	depth=509
vertex=9341	father=48562	depth=631
vertex=9363	father=12518	depth=327
vertex=9364	father=6392	depth=783
vertex=9408	father=16099	depth=502
vertex=9413	father=34308	depth=665
vertex=9420	father=26114	depth=1063
vertex=9435	father=43179	depth=617
vertex=9452	father=45356	depth=2292
vertex=9454	father=20516	depth=656
vertex=9458	father=42150	depth=2437
vertex=9483	father=8469	depth=2684
vertex=9490	father=42420	depth=2257
vertex=9491	father=45295	depth=2328
vertex=9492	father=29410	depth=1801
vertex=9511	father=12842	depth=2220
vertex=9534	father=47604	depth=1125
vertex=9544	father=14813	depth=833
vertex=9565	father=30043	depth=1791
vertex=9586	father=1214	depth=477
vertex=9596	father=831	depth=544
vertex=9642	father=36043	depth=467
vertex=9646	father=17955	depth=1664
vertex=9660	father=28175	depth=2595
vertex=9670	father=15955	depth=1619
vertex=9674	father=618	depth=7
vertex=9707	father=30897	depth=2126
vertex=9720	father=46451	depth=2500
vertex=9726	father=29962	depth=1518
vertex=9753	father=30014	depth=2661
vertex=9773	father=1659	depth=121
vertex=9785	father=11526	depth=566
vertex=9799	father=40134	depth=106
vertex=9818	father=18609	depth=2390
vertex=9827	father=3321	depth=300
vertex=9865	father=38676	depth=2043
vertex=9904	father=21202	depth=247
vertex=9919	father=14848	depth=708
vertex=9920	father=21027	depth=2484
vertex=9999	father=45021	depth=1561
vertex=10002	father=16386	depth=1121
vertex=10034	father=209	depth=2533
vertex=10059	father=37546	depth=1633
vertex=10095	father=11988	depth=1764
vertex=10118	father=41866	depth=1520
vertex=10139	father=4721	depth=2041
vertex=10149	father=18074	depth=325
vertex=10200	father=43525	depth=1915
vertex=10212	father=24177	depth=2641
vertex=10237	father=38540	depth=1592
vertex=10252	father=48234	depth=923
vertex=10283	father=40718	depth=2695
vertex=10302	father=9092	depth=2611
vertex=10355	father=29824	depth=938
vertex=10358	father=47236	depth=1499
vertex=10377	father=14310	depth=1833
vertex=10381	father=49820	depth=1871
vertex=10404	father=23873	depth=182
vertex=10407	father=18992	depth=1047
vertex=10423	father=8892	depth=351
vertex=10454	father=45130	depth=310
vertex=10459	father=5823	depth=1101
vertex=10468	father=15851	depth=203
vertex=10473	father=18941	depth=2491
vertex=10506	father=8156	depth=2384
vertex=10518	father=48126	depth=615
vertex=10539	father=4671	depth=1426
vertex=10577	father=42676	depth=671
vertex=10625	father=33361	depth=395
vertex=10642	father=34374	depth=1651
vertex=10647	father=33552	depth=2651
vertex=10661	father=16975	depth=578
vertex=10716	father=33689	depth=2344
vertex=10721	father=8330	depth=2045
vertex=10724	father=4385	depth=492
vertex=10726	father=21502	depth=170
vertex=10750	father=23634	depth=279
vertex=10753	father=35557	depth=662
vertex=10772	father=6670	depth=1245
vertex=10785	father=48201	depth=1368
vertex=10798	father=10252	depth=924
vertex=10809	father=45368	depth=1984
vertex=10813	father=49727	depth=855
vertex=10838	father=9904	depth=248
vertex=10851	father=44617	depth=2693
vertex=10854	father=36565	depth=2596
vertex=10861	father=8887	depth=2621
vertex=10863	father=49301	depth=2633
vertex=10865	father=41577	depth=61
vertex=10892	father=26507	depth=2607
vertex=10915	father=5927	depth=2423
vertex=10926	father=13427	depth=1898
vertex=10966	father=3012	depth=1318
vertex=10987	father=43728	depth=1113
vertex=10994	father=40955	depth=2465
vertex=11003	father=36588	depth=330
vertex=11023	father=8925	depth=2483
vertex=11052	father=19699	depth=694
vertex=11058	father=18085	depth=1356
vertex=11068	father=41946	depth=2010
vertex=11076	father=20910	depth=1894
vertex=11093	father=19960	depth=1098
vertex=11108	father=17185	depth=2617
vertex=11159	father=13408	depth=406
vertex=11181	father=34260	depth=1615
vertex=11201	father=14792	depth=669
vertex=11216	father=21876	depth=1989
vertex=11217	father=18077	depth=807
vertex=11225	father=28673	depth=2664
vertex=11226	father=34559	depth=717
vertex=11231	father=35850	depth=2637
vertex=11233	father=36764	depth=1105
vertex=11236	father=18779	depth=90
vertex=11238	father=31291	depth=1231
vertex=11257	father=14893	depth=1969
vertex=11273	father=24887	depth=172
vertex=11294	father=12696	depth=2003
vertex=11359	father=26823	depth=691
vertex=11372	father=16163	depth=2701
vertex=11407	father=11216	depth=1990
vertex=11420	father=32660	depth=2596
vertex=11454	father=37272	depth=2186
vertex=11456	father=14989	depth=2647
vertex=11460	father=46692	depth=2460
vertex=11463	father=37151	depth=408
vertex=11465	father=1633	depth=2206
vertex=11472	father=32275	depth=2574
vertex=11483	father=36610	depth=759
vertex=11503	father=751	depth=207
vertex=11526	father=15686	depth=565
vertex=11535	father=22562	depth=2310
vertex=11536	father=22828	depth=1011
vertex=11550	father=33416	depth=1173
vertex=11551	father=46365	depth=1708
vertex=11574	father=39908	depth=2435
vertex=11606	father=41333	depth=2200
vertex=11616	father=42461	depth=2630
vertex=11633	father=45019	depth=1719
vertex=11643	father=6331	depth=2679
vertex=11648	father=26849	depth=441
vertex=11649	father=561	depth=2662
vertex=11683	father=6221	depth=1185
vertex=11690	father=3285	depth=2649
vertex=11716	father=38644	depth=1233
vertex=11723	father=3847	depth=1395
vertex=11726	father=1878	depth=1324
vertex=11737	father=13181	depth=393
vertex=11740	father=43109	depth=2558
vertex=11807	father=7087	depth=731
vertex=11842	father=1669	depth=2063
vertex=11843	father=9646	depth=1665
vertex=11847	father=28220	depth=2096
vertex=11850	father=42527	depth=1327
vertex=11872	father=12910	depth=609
vertex=11892	father=24297	depth=2548
vertex=11909	father=17214	depth=770
vertex=11923	father=7074	depth=1788
vertex=11953	father=7691	depth=2597
vertex=11975	father=48794	depth=1781
vertex=11988	father=20174	depth=1763
vertex=12008	father=40561	depth=2393
vertex=12012	father=10200	depth=1916
vertex=12026	father=1640	depth=1505
vertex=12035	father=17783	depth=1083
vertex=12043	father=25286	depth=988
vertex=12049	father=34567	depth=1421
vertex=12067	father=33687	depth=380
vertex=12095	father=44448	depth=1419
vertex=12102	father=27310	depth=1742
vertex=12104	father=7982	depth=2590
vertex=12124	father=6710	depth=2235
vertex=12137	father=38992	depth=621
vertex=12148	father=1696	depth=793
vertex=12161	father=8445	depth=2495
vertex=12211	father=4122	depth=1438
vertex=12219	father=47803	depth=1108
vertex=12228	father=32071	depth=413
vertex=12229	father=46294	depth=402
vertex=12270	father=13584	depth=24
vertex=12276	father=27004	depth=1605
vertex=12287	father=46706	depth=1584
vertex=12301	father=34637	depth=2441
vertex=12341	father=47573	depth=2592
vertex=12344	father=25477	depth=2204
vertex=12364	father=40177	depth=2468
vertex=12376	father=7081	depth=1820
vertex=12386	father=5567	depth=111
vertex=12395	father=39391	depth=2061
vertex=12404	father=15889	depth=2224
vertex=12405	father=28673	depth=2664
vertex=12423	father=26530	depth=1207
vertex=12425	father=46627	depth=1050
vertex=12434	father=11058	depth=1357
vertex=12439	father=13020	depth=2584
vertex=12442	father=24955	depth=2572
vertex=12464	father=22168	depth=1655
vertex=12467	father=44414	depth=2695
vertex=12496	father=29579	depth=404
vertex=12518	father=10149	depth=326
vertex=12523	father=38093	depth=1888
vertex=12527	father=24806	depth=835
vertex=12529	father=20756	depth=159
vertex=12544	father=29262	depth=117
vertex=12588	father=43065	depth=1195
vertex=12624	father=2438	depth=1400
